title,artist,description
"Uptown Funk","Mark Ronson ft. Bruno Mars","A funky, energetic song with retro vibes and catchy hooks."
"Shape of You","Ed Sheeran","A dance-pop song about love and attraction, driven by tropical house beats."
"Rolling in the Deep","Adele","A powerful soul-pop song about heartbreak and moving on."
"Blinding Lights","The Weeknd","A retro-synth pop song with 80s vibes and high-energy beats."
"Happy","Pharrell Williams","An upbeat feel-good anthem about happiness and positivity."
"Can't Stop the Feeling!","Justin Timberlake","A funky, dance-pop track filled with joyful energy."
"Shake It Off","Taylor Swift","A fun, empowering anthem about ignoring haters and enjoying life."
"Roar","Katy Perry","An inspirational pop song about strength and perseverance."
"Closer","The Chainsmokers ft. Halsey","A synth-driven electropop song about rekindling a past romance."
"Someone Like You","Adele","A heartfelt ballad reflecting on lost love and nostalgia."
"Old Town Road","Lil Nas X ft. Billy Ray Cyrus","A genre-blending country-trap hit that took the internet by storm."
"Call Me Maybe","Carly Rae Jepsen","A bubblegum pop hit about love at first sight with an infectious melody."
"Counting Stars","OneRepublic","A pop-rock anthem with introspective lyrics and a catchy rhythm."
"Dark Horse","Katy Perry ft. Juicy J","A trap-infused pop song with hypnotic beats and mysterious vibes."
"Stay","Zedd & Alessia Cara","An electronic-pop track with emotional lyrics and a pulsing beat."
"Bad Guy","Billie Eilish","A minimalist, bass-heavy hit with playful and rebellious lyrics."
"Despacito","Luis Fonsi ft. Daddy Yankee","A Latin pop and reggaeton crossover hit with sensual rhythms."
"Girls Like You","Maroon 5 ft. Cardi B","A mellow pop song with a romantic theme and smooth beats."
"Senorita","Shawn Mendes & Camila Cabello","A sultry Latin-inspired duet about passionate romance."
"Havana","Camila Cabello","A Latin-infused pop hit that celebrates Cuban culture and nostalgia."
"Sorry","Justin Bieber","A tropical house-infused apology song with catchy hooks and danceable beats."
"Blank Space","Taylor Swift","A satirical pop song about relationships, fame, and the media’s perception of love."
"Take Me to Church","Hozier","A soulful indie-pop song with deep lyrics critiquing societal norms."
"Royals","Lorde","A minimalist indie-pop anthem rejecting materialism and excess."
"Work","Rihanna ft. Drake","A dancehall-inspired pop track about love and relationships."
"Love Yourself","Justin Bieber","A mellow acoustic breakup song with introspective lyrics."
"Sugar","Maroon 5","A funky, feel-good love song with catchy melodies and smooth vocals."
"Chandelier","Sia","A powerful electropop ballad about partying as a coping mechanism."
"Cheap Thrills","Sia ft. Sean Paul","An energetic dance-pop song about having fun without spending money."
"Somebody That I Used to Know","Gotye ft. Kimbra","A melancholic indie-pop song about the bitterness of a breakup."
"Let Her Go","Passenger","A heartfelt acoustic ballad about realizing love’s value after it's gone."
"Wake Me Up","Avicii","A genre-blending hit combining folk elements with EDM beats."
"Timber","Pitbull ft. Kesha","A country-influenced dance-pop song with an infectious party vibe."
"On the Floor","Jennifer Lopez ft. Pitbull","A Latin dance anthem with high-energy beats and global appeal."
"We Found Love","Rihanna ft. Calvin Harris","An EDM-driven pop hit about love and intensity."
